,state,year,quater,district,registered_users,app_opens
242,andhra-pradesh,2021,2,anantapur district,1492738,104568606
243,andhra-pradesh,2021,2,kurnool district,1415585,81894678
244,andhra-pradesh,2021,2,guntur district,1968681,88248064
245,andhra-pradesh,2021,2,krishna district,2002662,85771678
246,andhra-pradesh,2021,2,spsr nellore district,1176334,74049216
247,andhra-pradesh,2021,2,vizianagaram district,729509,42684475
248,andhra-pradesh,2021,2,ysr district,1103004,72255265
249,andhra-pradesh,2021,2,west godavari district,1339377,65118788
250,andhra-pradesh,2021,2,chittoor district,1870723,110505432
251,andhra-pradesh,2021,3,east godavari district,2150622,103626560
252,andhra-pradesh,2021,3,srikakulam district,902008,48622126
253,andhra-pradesh,2021,3,visakhapatnam district,2707931,139540800
254,andhra-pradesh,2021,3,prakasam district,1239147,91533813
255,andhra-pradesh,2021,3,anantapur district,1606735,124985545
256,andhra-pradesh,2021,3,kurnool district,1522196,101210508
257,andhra-pradesh,2021,3,guntur district,2110878,106621413
258,andhra-pradesh,2021,3,krishna district,2145423,104358295
259,andhra-pradesh,2021,3,spsr nellore district,1263550,90102349
260,andhra-pradesh,2021,3,vizianagaram district,784444,46277311
261,andhra-pradesh,2021,3,ysr district,1183377,86369956
262,andhra-pradesh,2021,3,west godavari district,1436576,80244808
263,andhra-pradesh,2021,3,chittoor district,2007011,135043395
264,andhra-pradesh,2021,4,east godavari district,2294347,142536856
265,andhra-pradesh,2021,4,srikakulam district,965335,61654215
266,andhra-pradesh,2021,4,visakhapatnam district,2888774,188757640
267,andhra-pradesh,2021,4,prakasam district,1325728,86410317
268,andhra-pradesh,2021,4,anantapur district,1719437,120768682
269,andhra-pradesh,2021,4,kurnool district,1628242,97379271
270,andhra-pradesh,2021,4,guntur district,2252443,130920743
271,andhra-pradesh,2021,4,krishna district,2288148,134436469
272,andhra-pradesh,2021,4,spsr nellore district,1349290,90814672
273,andhra-pradesh,2021,4,vizianagaram district,839606,56101822
274,andhra-pradesh,2021,4,ysr district,1262963,83534122
275,andhra-pradesh,2021,4,west godavari district,1532898,100007280
276,andhra-pradesh,2021,4,chittoor district,2141818,154395512
277,andhra-pradesh,2022,1,east godavari district,2432305,87134562
278,andhra-pradesh,2022,1,srikakulam district,1027283,46691467
279,andhra-pradesh,2022,1,visakhapatnam district,3061324,88803090
280,andhra-pradesh,2022,1,prakasam district,1408929,104851997
281,andhra-pradesh,2022,1,anantapur district,1827094,155792533
282,andhra-pradesh,2022,1,kurnool district,1729513,119653214
283,andhra-pradesh,2022,1,guntur district,2387051,88844052
284,andhra-pradesh,2022,1,krishna district,2423373,85871644
285,andhra-pradesh,2022,1,spsr nellore district,1431664,101671767
286,andhra-pradesh,2022,1,vizianagaram district,892889,44804002
287,andhra-pradesh,2022,1,ysr district,1339782,98878499
288,andhra-pradesh,2022,1,west godavari district,1626039,87642475
289,andhra-pradesh,2022,1,chittoor district,2270705,144146671
290,andhra-pradesh,2022,2,east godavari district,2564165,93383888
291,andhra-pradesh,2022,2,srikakulam district,1086164,51087942
292,andhra-pradesh,2022,2,visakhapatnam district,3226029,93552701
293,andhra-pradesh,2022,2,prakasam district,1487589,108172758
294,andhra-pradesh,2022,2,anantapur district,1928213,181499094
295,andhra-pradesh,2022,2,kurnool district,1825280,136447455
296,andhra-pradesh,2022,2,guntur district,2514794,91997209
297,andhra-pradesh,2022,2,krishna district,2552107,95341487
298,andhra-pradesh,2022,2,spsr nellore district,1509927,108755384
